Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
1,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.97,136.99,-0.03,-0.01,±0.30
,4,LINEAR,0,137,-0.01,136.92,-0.01,-0.08,±0.30
2,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219,137.01,0,0.01,±0.30
,4,LINEAR,0,137,0.06,137,0.06,0,±0.30
3,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,218.95,136.98,-0.05,-0.02,±0.30
,4,LINEAR,0,137,0.03,136.98,0.03,-0.02,±0.30
4,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219,0,0,0,±0.30
,3,LINEAR,219,137,218.99,137,-0.01,0,±0.30
,4,LINEAR,0,137,0,136.99,0,-0.01,±0.30
5,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.01,0,0.01,0,±0.30
,3,LINEAR,219,137,219.05,137.01,0.05,0.01,±0.30
,4,LINEAR,0,137,0.01,137.09,0.01,0.09,±0.30
6,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,218.99,136.96,-0.01,-0.04,±0.30
,4,LINEAR,0,137,-0.03,136.98,-0.03,-0.02,±0.30
7,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.99,136.96,-0.01,-0.04,±0.30
,4,LINEAR,0,137,0.01,137.01,0.01,0.01,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
8,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,219,137,0,0,±0.30
,4,LINEAR,0,137,-0.01,136.96,-0.01,-0.04,±0.30
9,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,219.01,136.95,0.01,-0.05,±0.30
,4,LINEAR,0,137,0.04,136.98,0.04,-0.02,±0.30
10,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,219.01,136.95,0.01,-0.05,±0.30
,4,LINEAR,0,137,0.06,137.02,0.06,0.02,±0.30
11,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,218.99,136.97,-0.01,-0.03,±0.30
,4,LINEAR,0,137,-0.01,136.99,-0.01,-0.01,±0.30
12,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.98,136.98,-0.02,-0.02,±0.30
,4,LINEAR,0,137,0.06,137.02,0.06,0.02,±0.30
13,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219,137.04,0,0.04,±0.30
,4,LINEAR,0,137,0.07,137.01,0.07,0.01,±0.30
14,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,218.99,137.01,-0.01,0.01,±0.30
,4,LINEAR,0,137,-0.01,137,-0.01,0,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
15,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,219.02,137.02,0.02,0.02,±0.30
,4,LINEAR,0,137,0.02,136.95,0.02,-0.05,±0.30
16,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,218.96,136.95,-0.04,-0.05,±0.30
,4,LINEAR,0,137,0.02,137.01,0.02,0.01,±0.30
17,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.93,0,-0.07,0,±0.30
,3,LINEAR,219,137,218.97,137.01,-0.03,0.01,±0.30
,4,LINEAR,0,137,-0.04,137.01,-0.04,0.01,±0.30
18,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.98,136.96,-0.02,-0.04,±0.30
,4,LINEAR,0,137,0.01,136.98,0.01,-0.02,±0.30
19,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219,0,0,0,±0.30
,3,LINEAR,219,137,219.03,136.98,0.03,-0.02,±0.30
,4,LINEAR,0,137,0.04,136.98,0.04,-0.02,±0.30
20,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219.05,136.96,0.05,-0.04,±0.30
,4,LINEAR,0,137,0.04,137,0.04,0,±0.30
21,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.03,0,0.03,0,±0.30
,3,LINEAR,219,137,219.07,136.92,0.07,-0.08,±0.30
,4,LINEAR,0,137,0.06,136.99,0.06,-0.01,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
22,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219.08,136.98,0.08,-0.02,±0.30
,4,LINEAR,0,137,0.08,136.98,0.08,-0.02,±0.30
23,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.89,0,-0.11,0,±0.30
,3,LINEAR,219,137,218.94,137.01,-0.06,0.01,±0.30
,4,LINEAR,0,137,-0.07,136.98,-0.07,-0.02,±0.30
24,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.9,0,-0.1,0,±0.30
,3,LINEAR,219,137,219.02,136.98,0.02,-0.02,±0.30
,4,LINEAR,0,137,-0.03,136.94,-0.03,-0.06,±0.30
25,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.98,137,-0.02,0,±0.30
,4,LINEAR,0,137,0,136.94,0,-0.06,±0.30
26,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219,0,0,0,±0.30
,3,LINEAR,219,137,219.02,136.96,0.02,-0.04,±0.30
,4,LINEAR,0,137,0.03,137,0.03,0,±0.30
27,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.88,0,-0.12,0,±0.30
,3,LINEAR,219,137,218.95,136.93,-0.05,-0.07,±0.30
,4,LINEAR,0,137,0.08,137.01,0.08,0.01,±0.30
28,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,219.02,136.92,0.02,-0.08,±0.30
,4,LINEAR,0,137,0.05,137.02,0.05,0.02,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
29,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,219.03,136.96,0.03,-0.04,±0.30
,4,LINEAR,0,137,0.02,136.99,0.02,-0.01,±0.30
30,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.01,0,0.01,0,±0.30
,3,LINEAR,219,137,219.03,136.95,0.03,-0.05,±0.30
,4,LINEAR,0,137,0.05,137.04,0.05,0.04,±0.30
31,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219.03,136.99,0.03,-0.01,±0.30
,4,LINEAR,0,137,0.04,136.96,0.04,-0.04,±0.30
32,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219.01,136.92,0.01,-0.08,±0.30
,4,LINEAR,0,137,0.05,136.97,0.05,-0.03,±0.30
33,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,219.02,136.95,0.02,-0.05,±0.30
,4,LINEAR,0,137,-0.02,136.97,-0.02,-0.03,±0.30
34,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.99,137.05,-0.01,0.05,±0.30
,4,LINEAR,0,137,-0.01,136.95,-0.01,-0.05,±0.30
35,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,218.99,137.01,-0.01,0.01,±0.30
,4,LINEAR,0,137,0,136.96,0,-0.04,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
36,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.93,0,-0.07,0,±0.30
,3,LINEAR,219,137,219.08,136.94,0.08,-0.06,±0.30
,4,LINEAR,0,137,0.04,136.99,0.04,-0.01,±0.30
37,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.94,0,-0.06,0,±0.30
,3,LINEAR,219,137,218.98,136.92,-0.02,-0.08,±0.30
,4,LINEAR,0,137,0.06,136.99,0.06,-0.01,±0.30
38,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.89,0,-0.11,0,±0.30
,3,LINEAR,219,137,218.99,136.98,-0.01,-0.02,±0.30
,4,LINEAR,0,137,-0.06,136.93,-0.06,-0.07,±0.30
39,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,219.03,136.98,0.03,-0.02,±0.30
,4,LINEAR,0,137,0.08,136.96,0.08,-0.04,±0.30
40,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,219.02,136.98,0.02,-0.02,±0.30
,4,LINEAR,0,137,0.04,136.98,0.04,-0.02,±0.30
41,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.9,0,-0.1,0,±0.30
,3,LINEAR,219,137,219.02,136.91,0.02,-0.09,±0.30
,4,LINEAR,0,137,0,137.03,0,0.03,±0.30
42,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219,137.01,0,0.01,±0.30
,4,LINEAR,0,137,0.02,136.99,0.02,-0.01,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
43,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,218.93,137.01,-0.07,0.01,±0.30
,4,LINEAR,0,137,-0.01,136.97,-0.01,-0.03,±0.30
44,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.94,0,-0.06,0,±0.30
,3,LINEAR,219,137,219.05,136.94,0.05,-0.06,±0.30
,4,LINEAR,0,137,0.08,136.97,0.08,-0.03,±0.30
45,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,219.01,136.94,0.01,-0.06,±0.30
,4,LINEAR,0,137,0.08,137.02,0.08,0.02,±0.30
46,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,219.04,136.9,0.04,-0.1,±0.30
,4,LINEAR,0,137,0.09,136.97,0.09,-0.03,±0.30
47,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.93,0,-0.07,0,±0.30
,3,LINEAR,219,137,218.98,136.99,-0.02,-0.01,±0.30
,4,LINEAR,0,137,-0.01,136.99,-0.01,-0.01,±0.30
48,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219.01,136.98,0.01,-0.02,±0.30
,4,LINEAR,0,137,0,137.01,0,0.01,±0.30
49,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,219.04,136.96,0.04,-0.04,±0.30
,4,LINEAR,0,137,0.05,137.06,0.05,0.06,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
50,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,219.03,136.99,0.03,-0.01,±0.30
,4,LINEAR,0,137,0.04,136.96,0.04,-0.04,±0.30
51,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219.05,137,0.05,0,±0.30
,4,LINEAR,0,137,0.06,137.06,0.06,0.06,±0.30
52,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.98,0,-0.02,0,±0.30
,3,LINEAR,219,137,219.01,137.03,0.01,0.03,±0.30
,4,LINEAR,0,137,-0.04,136.98,-0.04,-0.02,±0.30
53,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219.06,136.96,0.06,-0.04,±0.30
,4,LINEAR,0,137,0.04,137.03,0.04,0.03,±0.30
54,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.95,0,-0.05,0,±0.30
,3,LINEAR,219,137,219.04,136.96,0.04,-0.04,±0.30
,4,LINEAR,0,137,0.01,136.98,0.01,-0.02,±0.30
55,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,219.08,137,0.08,0,±0.30
,4,LINEAR,0,137,0.08,137.06,0.08,0.06,±0.30
56,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219,0,0,0,±0.30
,3,LINEAR,219,137,219.08,137.02,0.08,0.02,±0.30
,4,LINEAR,0,137,0.07,137.04,0.07,0.04,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
57,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,219.02,0,0.02,0,±0.30
,3,LINEAR,219,137,218.99,137.04,-0.01,0.04,±0.30
,4,LINEAR,0,137,-0.04,136.99,-0.04,-0.01,±0.30
58,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,218.99,136.97,-0.01,-0.03,±0.30
,4,LINEAR,0,137,-0.05,136.98,-0.05,-0.02,±0.30
59,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.94,0,-0.06,0,±0.30
,3,LINEAR,219,137,219.03,136.98,0.03,-0.02,±0.30
,4,LINEAR,0,137,0,136.97,0,-0.03,±0.30
60,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.92,0,-0.08,0,±0.30
,3,LINEAR,219,137,218.91,136.98,-0.09,-0.02,±0.30
,4,LINEAR,0,137,-0.09,137.02,-0.09,0.02,±0.30
61,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.96,137.01,-0.04,0.01,±0.30
,4,LINEAR,0,137,-0.01,137.02,-0.01,0.02,±0.30
62,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.99,0,-0.01,0,±0.30
,3,LINEAR,219,137,219.01,136.96,0.01,-0.04,±0.30
,4,LINEAR,0,137,0.06,136.98,0.06,-0.02,±0.30
63,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.93,0,-0.07,0,±0.30
,3,LINEAR,219,137,219.01,137,0.01,0,±0.30
,4,LINEAR,0,137,0,137.01,0,0.01,±0.30
,,,,,,,,,
Part #,Item #,Type,X Nominal,Y Nominal,X Actual,Y Actual,X Deviation,Y Deviation,Tolerance
64,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.96,137.02,-0.04,0.02,±0.30
,4,LINEAR,0,137,-0.02,136.95,-0.02,-0.05,±0.30
65,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.93,0,-0.07,0,±0.30
,3,LINEAR,219,137,219.05,136.95,0.05,-0.05,±0.30
,4,LINEAR,0,137,0.02,137.03,0.02,0.03,±0.30
66,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.97,0,-0.03,0,±0.30
,3,LINEAR,219,137,218.97,137,-0.03,0,±0.30
,4,LINEAR,0,137,-0.06,136.98,-0.06,-0.02,±0.30
67,1,LINEAR,0,0,0,0,0,0,±0.30
,2,LINEAR,219,0,218.96,0,-0.04,0,±0.30
,3,LINEAR,219,137,219,137,0,0,±0.30
,4,LINEAR,0,137,0,136.93,0,-0.07,±0.30
